Year{20,21,22,23,24,25 },,,,,,,,,,,,,,,,
Month{Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Jan, Feb, Mar, Firsthalf, Secondhalf, All },,,,,,,
Stay{Individual, Cumulative, CuIn},,,,,,,,,,,,,,,,,,,
Country{China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other},,,
@data form,,,,,,,,,,,,,,,,,,,,,
Year, Month, Stay, China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other

@data,,,,,,,,,,,,,,,,,,,,,
22, Aug, Individual,41127,49965,53860,37119,5883,1617,1798,29,na,na,na,1442,692,774,573,2387,749,453,6386
22, Aug, Cumulative,45098,59147,58218,47328,6520,1864,2191,67,na,na,na,2596,965,1033,1036,3260,1174,743,8954
22, Sep, Individual,22362,25359,38887,19352,9145,4047,920,57,na,na,na,783,385,621,371,1886,367,971,7646
22, Sep, Cumulative,24550,27650,41654,23810,10001,4471,1041,78,na,na,na,1419,499,1000,580,2518,538,1613,9969
22, Oct, Individual,23871,20334,40948,17753,9984,2758,2081,71,na,na,na,780,383,245,272,2968,392,706,5599
22, Oct, Cumulative,26429,21690,43135,22773,11528,3077,2593,81,na,na,na,1094,585,292,402,3744,537,1058,7010
22, Nov, Individual,10355,16599,31480,10134,8254,2175,734,44,na,na,na,547,236,231,104,1541,206,421,4019
22, Nov, Cumulative,11491,17874,33240,13536,9484,2462,1045,73,na,na,na,935,267,286,284,3493,280,661,4960
22, Dec, Individual,17000,24047,45355,37139,45741,15981,2056,59,na,na,na,776,447,215,320,1241,439,3434,9317
22, Dec, Cumulative,20715,27535,49202,61091,66870,20612,3002,127,na,na,na,1174,1352,394,581,2510,825,12125,14750
22, Jan, Individual,23050,37647,52473,25372,7542,1552,1295,150,na,na,na,1082,529,270,160,1370,409,16682,5919
22, Jan, Cumulative,28908,44266,57310,40461,10966,2280,2145,304,na,na,na,2350,1612,599,641,2857,969,75567,13998
22, Feb, Individual,40281,37188,52323,54404,12227,6438,5636,69,na,na,na,713,1580,509,483,4055,467,11067,11529
22, Feb, Cumulative,49506,46041,56919,81127,18135,8109,8357,142,na,na,na,1682,4365,1164,1190,8417,962,44039,22021
22, Mar, Individual,5373,7458,16135,9228,3809,926,973,50,na,na,na,597,522,106,76,936,282,3293,2473
